CODE,DISPLAY,VERSION
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",ICD_PM
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",ICD_PM
Q99,"Other chromosome abnormalities, not elsewhere classified",ICD_PM
I2,Disorders related to length of gestation and fetal growth ,
P10,Intracranial laceration and haemorrhage due to birth injury,ICD_PM
P10.0,Subdural haemorrhage due to birth injury,ICD_PM
P10.1,Cerebral haemorrhage due to birth injury,ICD_PM
P10.2,Intraventricular haemorrhage due to birth injury,ICD_PM
P10.3,Subarachnoid haemorrhage due to birth injury,ICD_PM
P10.4,Tentorial tear due to birth injury,ICD_PM
P10.8,Other intracranial lacerations and haemorrhages due to birth injury,ICD_PM
P10.9,Unspecified intracranial laceration and haemorrhage due to birth injury,ICD_PM
P11,Other birth injuries to central nervous system,ICD_PM
P11.0,Cerebral oedema due to birth injury,ICD_PM
P11.1,Other specified brain damage due to birth injury,ICD_PM
P11.2,Unspecified brain damage due to birth injury,ICD_PM
P11.5,Birth injury to spine and spinal cord,ICD_PM
P11.9,"Birth injury to central nervous system, unspecified",ICD_PM
P12,Birth injury to scalp,ICD_PM
P12.0,Cephalhaematoma due to birth injury,ICD_PM
P12.1,Chignon due to birth injury,ICD_PM
P12.2,Epicranial subaponeurotic haemorrhage due to birth injury,ICD_PM
P12.3,Bruising of scalp due to birth injury,ICD_PM
P12.4,Monitoring injury of scalp of newborn,ICD_PM
P12.8,Other birth injuries to scalp,ICD_PM
P12.9,"Birth injury to scalp, unspecified",ICD_PM
P13,Birth injury to skeleton,ICD_PM
P13.0,Fracture of skull due to birth injury,ICD_PM
P13.1,Other birth injuries to skull,ICD_PM
P13.2,Birth injury to femur,ICD_PM
P13.3,Birth injury to other long bones,ICD_PM
P13.4,Fracture of clavicle due to birth injury,ICD_PM
P13.8,Birth injuries to other parts of skeleton,ICD_PM
P13.9,"Birth injury to skeleton, unspecified",ICD_PM
P15,Other birth injuries,ICD_PM
P15.0,Birth injury to liver,ICD_PM
P15.1,Birth injury to spleen,ICD_PM
P15.2,Sternomastoid injury due to birth injury,ICD_PM
P15.8,Other specified birth injuries,ICD_PM
P15.9,"Birth injury, unspecified",ICD_PM
I3,Acute intrapartum event,
P20,Intrauterine hypoxia,ICD_PM
P20.1,Intrauterine hypoxia first noted during labour and delivery,ICD_PM
P20.9,"Intrauterine hypoxia, unspecified",ICD_PM
I4,Infection,
P35,Congenital viral diseases,ICD_PM
P35.0,Congenital rubella syndrome,ICD_PM
P35.1,Congenital cytomegalovirus infection,ICD_PM
P35.2,Congenital herpesviral [herpes simplex] infection,ICD_PM
P35.3,Congenital viral hepatitis,ICD_PM
P35.8,Other congenital viral diseases,ICD_PM
P35.9,"Congenital viral disease, unspecified",ICD_PM
P37,Other congenital infectious and parasitic diseases,ICD_PM
P37.0,Congenital tuberculosis,ICD_PM
P37.1,Congenital toxoplasmosis,ICD_PM
P37.3,Congenital falciparum malaria,ICD_PM
P37.4,Other congenital malaria,ICD_PM
P37.8,Other specified congenital infectious and parasitic diseases,ICD_PM
P37.9,"Congenital infectious and parasitic disease, unspecified",ICD_PM
P39,Other infections specific to the perinatal period,ICD_PM
P39.2,"Intra-amniotic infection of fetus, not elsewhere classified",ICD_PM
P39.8,Other specified infections specific to the perinatal period,ICD_PM
P39.9,"Infection specific to the perinatal period, unspecified",ICD_PM
I5,Other specified intrapartum disorder,
P50,Fetal blood loss,ICD_PM
P50.0,Fetal blood loss from vasa praevia,ICD_PM
P50.1,Fetal blood loss from ruptured cord,ICD_PM
P50.2,Fetal blood loss from placenta,ICD_PM
P50.3,Haemorrhage into co-twin,ICD_PM
P50.4,Haemorrhage into maternal circulation,ICD_PM
P50.5,Fetal blood loss from cut end of co-twin’s cord,ICD_PM
P50.8,Other fetal blood loss,ICD_PM
P50.9,"Fetal blood loss, unspecified",ICD_PM
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,ICD_PM
P52.0,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn",ICD_PM
P52.1,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn",ICD_PM
P52.2,"Intraventricular (nontraumatic) haemorrhage, grade 3 and grade 4, of fetus and newborn",ICD_PM
P52.3,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.4,Intracerebral (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.5,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn,ICD_PM
P52.6,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn,ICD_PM
P52.8,Other intracranial (nontraumatic) haemorrhages of fetus and newborn,ICD_PM
P52.9,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified",ICD_PM
P55,Haemolytic disease of fetus and newborn,ICD_PM
P55.0,Rhesus isoimmunization of fetus and newborn,ICD_PM
P55.1,ABO isoimmunization of fetus and newborn,ICD_PM
P55.8,Other haemolytic diseases of fetus and newborn,ICD_PM
P55.9,"Haemolytic disease of fetus and newborn, unspecified",ICD_PM
P56,Hydrops fetalis due to haemolytic disease,ICD_PM
P56.0,Hydrops fetalis due to isoimmunization,ICD_PM
P56.9,Hydrops fetalis due to other and unspecified haemolytic disease,ICD_PM
P60,Disseminated intravascular coagulation of fetus and newborn,ICD_PM
P61,Other perinatal haematological disorders,ICD_PM
P61.3,Congenital anaemia from fetal blood loss,ICD_PM
P61.4,"Other congenital anaemias, not elsewhere classified",ICD_PM
P61.8,Other specified perinatal haematological disorders,ICD_PM
P61.9,"Perinatal haematological disorder, unspecified",ICD_PM
P96,Other conditions originating in the perinatal period,ICD_PM
P96.0,Congenital renal failure,ICD_PM
