CODE,DISPLAY,VERSION
8091/3,"Multicentric basal cell carcinoma",ICDO3_2nd
8092/3,"Infiltrating basal cell carcinoma, NOS",ICDO3_2nd
8092/3,"Infiltrating basal cell carcinoma, non-sclerosing",ICDO3_2nd
8092/3,"Infiltrating basal cell carcinoma, sclerosing",ICDO3_2nd
8092/3,"Basal cell carcinoma, desmoplastic type",ICDO3_2nd
8092/3,"Basal cell carcinoma, morpheic",ICDO3_2nd
8092/3,"Basal cell carcinoma, sarcomatoid",ICDO3_2nd
8093/3,"Basal cell carcinoma, fibroepithelial",ICDO3_2nd
8093/3,"Fibroepithelioma, NOS",ICDO3_2nd
8093/3,"Fibroepithelioma of Pinkus type",ICDO3_2nd
8093/3,"Fibroepithelial basal cell carcinoma, Pinkus type",ICDO3_2nd
8093/3,"Pinkus tumor",ICDO3_2nd
8094/3,"Basosquamous carcinoma",ICDO3_2nd
8094/3,"Mixed basal-squamous cell carcinoma",ICDO3_2nd
8095/3,"Metatypical carcinoma",ICDO3_2nd
8096/0,"Intraepidermal epithelioma of Jadassohn",ICDO3_2nd
8097/3,"Basal cell carcinoma, nodular",ICDO3_2nd
8097/3,"Basal cell carcinoma, micronodular",ICDO3_2nd
8098/3,"Adenoid basal carcinoma",ICDO3_2nd
8100/0,Trichoepithelioma,ICDO3_2nd
8100/0,"Brooke tumor",ICDO3_2nd
8100/0,"Epithelioma adenoides cysticum",ICDO3_2nd
8100/0,Trichoblastoma,ICDO3_2nd
8100/0,Trichogerminoma,ICDO3_2nd
8100/3,"Trichoblastic carcinoma",ICDO3_2nd
8100/3,"Trichoblastic carcinosarcoma",ICDO3_2nd
8101/0,Trichofolliculoma,ICDO3_2nd
8102/0,Trichilemmoma,ICDO3_2nd
8102/3,Trichilemmocarcinoma,ICDO3_2nd
8102/3,"Trichilemmal carcinoma",ICDO3_2nd
8103/0,"Pilar tumor",ICDO3_2nd
8103/1,"Proliferating trichilemmal cyst",ICDO3_2nd
8103/1,"Proliferating trichilemmal tumor",ICDO3_2nd
8104/0,"Pilar sheath acanthoma",ICDO3_2nd
8104/0,"Tumor of follicular infundibulum",ICDO3_2nd
8110/0,"Pilomatricoma, NOS",ICDO3_2nd
8110/0,"Pilomatrixoma, NOS",ICDO3_2nd
8110/0,"Calcifying epithelioma of Malherbe",ICDO3_2nd
8110/0,"Melanocytic matricoma",ICDO3_2nd
8110/3,"Pilomatrical carcinoma",ICDO3_2nd
8110/3,"Pilomatrix carcinoma",ICDO3_2nd
8110/3,"Matrical carcinoma",ICDO3_2nd
8110/3,"Pilomatricoma, malignant",ICDO3_2nd
8110/3,"Pilomatrixoma, malignant",ICDO3_2nd
8120/0,"Urothelial papilloma, NOS",ICDO3_2nd
8120/0,"Transitional cell papilloma, benign",ICDO3_2nd
8120/0,"Transitional papilloma",ICDO3_2nd
8120/0,"Transitional cell papilloma, NOS",ICDO3_2nd
8120/0,"Papilloma of bladder",ICDO3_2nd
8120/2,"Urothelial carcinoma in situ",ICDO3_2nd
8120/2,"Transitional cell carcinoma in situ",ICDO3_2nd
8120/3,"Transitional cell carcinoma, NOS",ICDO3_2nd
8120/3,"Urothelial carcinoma, NOS",ICDO3_2nd
8120/3,"Transitional carcinoma",ICDO3_2nd
8120/3,"Squamotransitional carcinoma",ICDO3_2nd
8121/0,"Sinonasal papilloma, exophytic",ICDO3_2nd
8121/0,"Schneiderian papilloma, NOS",ICDO3_2nd
8121/0,"Sinonasal papilloma, NOS",ICDO3_2nd
8121/0,"Sinonasal papilloma, fungiform",ICDO3_2nd
8121/0,"Urothelial papilloma, inverted",ICDO3_2nd
8121/0,"Transitional papilloma, inverted, NOS",ICDO3_2nd
8121/0,"Transitional cell papilloma, inverted, NOS",ICDO3_2nd
8121/1,"Sinonasal papilloma, inverted",ICDO3_2nd
8121/1,"Columnar cell papilloma",ICDO3_2nd
8121/1,"Cylindrical cell papilloma",ICDO3_2nd
8121/1,"Schneiderian papilloma, oncocytic",ICDO3_2nd
8121/1,"Schneiderian papilloma, inverted",ICDO3_2nd
8121/1,"Sinonasal papilloma, oncocytic",ICDO3_2nd
8121/3,"Schneiderian carcinoma",ICDO3_2nd
8121/3,"Cylindrical cell carcinoma",ICDO3_2nd
8122/3,"Urothelial carcinoma, sarcomatoid",ICDO3_2nd
8122/3,"Urothelial carcinoma, spindle cell",ICDO3_2nd
8122/3,"Transitional cell carcinoma, spindle cell",ICDO3_2nd
8122/3,"Transitional cell carcinoma, sarcomatoid",ICDO3_2nd
8123/3,"Basaloid carcinoma",ICDO3_2nd
8124/3,"Cloacogenic carcinoma",ICDO3_2nd
8130/1,"Papillary urothelial neoplasm of low malignant potential",ICDO3_2nd
8130/1,"Papillary transitional cell neoplasm of low malignant potential",ICDO3_2nd
