LEVEL,CODE,DISPLAY,VERSION
,Q20.8,Other congenital malformations of cardiac chambers and connections,ICD_MM
,Q20.9,Congenital malformation of cardiac chambers and connections unspecified,ICD_MM
,Q21,Congenital malformations of cardiac septa,ICD_MM
,Q21.0,Ventricular septal defect,ICD_MM
,Q21.1,Atrial septal defect,ICD_MM
,Q21.2,Atrioventricular septal defect,ICD_MM
,Q21.3,Tetralogy of fallot,ICD_MM
,Q21.4,Aortopulmonary septal defect,ICD_MM
,Q21.8,Other congenital malformations of cardiac septa,ICD_MM
,Q21.9,"Congenital malformation of cardiac septum, unspecified",ICD_MM
,Q22,Congenital malformations of pulmonary and tricuspid valves,ICD_MM
,Q22.0,Pulmonary valve atresia,ICD_MM
,Q22.1,Congenital pulmonary valve stenosis,ICD_MM
,Q22.2,Congenital pulmonary valve insufficiency,ICD_MM
,Q22.3,Other congenital malformations of pulmonary valve,ICD_MM
,Q22.4,Congenital tricuspid stenosis,ICD_MM
,Q22.5,Ebstein's anomaly,ICD_MM
,Q22.6,Hypoplastic right heart syndrome,ICD_MM
,Q22.8,Other congenital malformations of tricuspid valve,ICD_MM
,Q22.9,"Congenital malformation of tricuspid valve, unspecified",ICD_MM
,Q23,Congenital malformations of aortic and mitral valves,ICD_MM
,Q23.0,Congenital stenosis of aortic valve,ICD_MM
,Q23.1,Congenital insufficiency of aortic valve,ICD_MM
,Q23.2,Congenital mitral stenosis,ICD_MM
,Q23.3,Congenital mitral insufficiency,ICD_MM
,Q23.4,Hypoplastic left heart syndrome,ICD_MM
,Q23.8,Other congenital malformations of aortic and mitral valves,ICD_MM
,Q23.9,Congenital malformation of aortic and mitral valves unspecified,ICD_MM
,Q24,Other congenital malformations of heart,ICD_MM
,Q24.0,Dextrocardia,ICD_MM
,Q24.1,Laevocardia,ICD_MM
,Q24.2,Cor triatriatum,ICD_MM
,Q24.3,Pulmonary infundibular stenosis,ICD_MM
,Q24.4,Congenital subaortic stenosis,ICD_MM
,Q24.5,Malformation of coronary vessels,ICD_MM
,Q24.6,Congenital heart block,ICD_MM
,Q24.8,Other specified congenital malformations of heart,ICD_MM
,Q24.9,"Congenital malformation of heart, unspecified",ICD_MM
,Q25,Congenital malformations of great arteries,ICD_MM
,Q25.0,Patent ductus arteriosus,ICD_MM
,Q25.1,Coarctation of aorta,ICD_MM
,Q25.2,Atresia of aorta,ICD_MM
,Q25.3,Stenosis of aorta,ICD_MM
,Q25.4,Other congenital malformations of aorta,ICD_MM
,Q25.5,Atresia of pulmonary artery,ICD_MM
,Q25.6,Stenosis of pulmonary artery,ICD_MM
,Q25.7,Other congenital malformations of pulmonary artery,ICD_MM
,Q25.8,Other congenital malformations of great arteries,ICD_MM
,Q25.9,"Congenital malformation of great arteries, unspecified",ICD_MM
,Q26,Congenital malformations of great veins,ICD_MM
,Q26.0,Congenital stenosis of vena cava,ICD_MM
,Q26.1,Persistent left superior vena cava,ICD_MM
,Q26.2,Total anomalous pulmonary venous connection,ICD_MM
,Q26.3,Partial anomalous pulmonary venous connection,ICD_MM
,Q26.4,"Anomalous pulmonary venous connection, unspecified",ICD_MM
,Q26.5,Anomalous portal venous connection,ICD_MM
,Q26.6,Portal vein-hepatic artery fistula,ICD_MM
,Q26.8,Other congenital malformations of great veins,ICD_MM
,Q26.9,"Congenital malformation of great vein, unspecified",ICD_MM
,Q27,Other congenital malformations of peripheral vascular system,ICD_MM
,Q27.0,Congenital absence and hypoplasia of umbilical artery,ICD_MM
,Q27.1,Congenital renal artery stenosis,ICD_MM
,Q27.2,Other congenital malformations of renal artery,ICD_MM
,Q27.3,Peripheral arteriovenous malformation,ICD_MM
,Q27.4,Congenital phlebectasia,ICD_MM
,Q27.8,Other specified congenitalo malformations of peripheral vascular system,ICD_MM
,Q27.9,Congenital malformation of peripheral vascular system unspecified,ICD_MM
,Q28,Other congenital malformations of circulatory system,ICD_MM
,Q28.0,Arteriovenous malformation of precerebral vessels,ICD_MM
,Q28.1,Other malformations of precerebral vessels,ICD_MM
,Q28.2,Arteriovenous malformation of cerebral vessels,ICD_MM
,Q28.3,Other malformations of cerebral vessels,ICD_MM
,Q28.8,Other specified congenital malformations of circulatory system,ICD_MM
,Q28.9,"Congenital malformation of circulatory system, unspecified",ICD_MM
,I21,Acute myocardial infarction,ICD_MM
,I21.0,Acute transmural myocardial infarction of anterior wall,ICD_MM
,I21.1,Acute transmural myocardial infarction of inferior wall,ICD_MM
,I21.2,Acute transmural myocardial infarction of other sites,ICD_MM
,I21.3,Acute transmural myocardial infarction of unspecified site,ICD_MM
,I21.4,Acute subendocardial myocardial infarction,ICD_MM
,I21.9,"Acute myocardial infarction, unspecified",ICD_MM
,I42,Cardiomyopathy,ICD_MM
,I42.0,Dilated cardiomyopathy,ICD_MM
,I42.1,Obstructive hypertrophic cardiomyopathy,ICD_MM
,I42.2,Other hypertrophic cardiomyopathy,ICD_MM
,I42.3,Endomyocardial (eosinophilic) disease,ICD_MM
,I42.4,Endocardial fibroelastosis,ICD_MM
